page,clicks,impressions,avg_click_position,avg_impression_position,date
https://librosresumidos.net/los-colores-de-la-felicidad-de-viviana-rivero/,5,2,-1,1,2025-01-03
https://librosresumidos.net/la-montana-parlante-de-tea-stilton/,4,7,-1,3,2025-01-03
https://librosresumidos.net/con-ojos-de-nino-de-francesco-tonucci/,4,6,-1,1,2025-01-03
https://librosresumidos.net/el-monje-que-vendio-su-ferrari-una-fabula-espiritual-de-robin-s-sharma/,3,64,-1,6,2025-01-03
https://librosresumidos.net/kafka-y-la-muneca-viajera-de-jordi-sierra-i-fabra/,3,10,-1,5,2025-01-03
https://librosresumidos.net/crepusculo-saga-crepusculo-i-de-stephenie-meyer/,2,24,-1,7,2025-01-03
https://librosresumidos.net/los-futbolisimos-1-el-misterio-de-los-arbitros-dormidos-de-roberto-santiago/,2,9,-1,4,2025-01-03
https://librosresumidos.net/el-ladron-de-mentiras-de-roberto-santiago/,2,8,-1,2,2025-01-03
https://librosresumidos.net/lo-que-encontre-bajo-el-sofa-de-eloy-moreno/,2,6,-1,4,2025-01-03
https://librosresumidos.net/piloto-de-guerra-de-antoine-de-saint-exupery/,2,4,-1,5,2025-01-03
https://librosresumidos.net/los-demonios-del-eden-de-lydia-cacho/,2,4,-1,7,2025-01-03
https://librosresumidos.net/los-viajes-de-tuf-de-george-r-r-martin/,2,4,-1,4,2025-01-03
https://librosresumidos.net/mueren-mas-por-desamor-de-saul-bellow/,2,3,-1,2,2025-01-03
https://librosresumidos.net/la-mosca-relatos-del-antimundo-de-george-langelaan/,2,3,-1,3,2025-01-03
https://librosresumidos.net/tropico-de-capricornio-de-henry-miller/,2,2,-1,2,2025-01-03
https://librosresumidos.net/bajo-la-arena-de-egipto-el-misterio-de-tutankamon-de-philippe-nessmann/,2,2,-1,4,2025-01-03
https://librosresumidos.net/el-domador-de-leones-de-camilla-lackberg/,2,2,-1,4,2025-01-03
https://librosresumidos.net/el-manuscrito-de-piedra-de-luis-garcia-jambrina/,2,1,-1,4,2025-01-03
https://librosresumidos.net/el-diablo-en-la-ciudad-blanca-de-erik-larson/,2,1,-1,2,2025-01-03
https://librosresumidos.net/el-tiempo-y-la-promesa-de-concha-lopez-narvaez/,2,1,-1,2,2025-01-03
https://librosresumidos.net/la-ultima-campanada-de-alfredo-gomez-cerda/,1,37,-1,4,2025-01-03
https://librosresumidos.net/como-se-salvo-wang-fo-de-marguerite-yourcenar/,1,28,-1,5,2025-01-03
https://librosresumidos.net/por-que-los-hombres-aman-a-las-cabronas-de-sherry-argov/,1,24,-1,6,2025-01-03
https://librosresumidos.net/el-asesinato-del-profesor-de-matematicas-de-jordi-sierra-i-fabra/,1,14,-1,6,2025-01-03
https://librosresumidos.net/la-lengua-de-las-mariposas-de-manuel-rivas/,1,8,-1,7,2025-01-03
https://librosresumidos.net/mossad-la-historia-secreta-de-gordon-thomas/,1,8,-1,9,2025-01-03
https://librosresumidos.net/miedo-de-care-santos/,1,6,-1,8,2025-01-03
https://librosresumidos.net/libro-del-desasosiego-de-fernando-pessoa/,1,6,-1,7,2025-01-03
https://librosresumidos.net/el-libro-salvaje-de-juan-villoro/,1,5,-1,6,2025-01-03
https://librosresumidos.net/los-siete-7-habitos-de-los-adolescentes-altamente-efectivos-de-sean-covey/,1,5,-1,4,2025-01-03
https://librosresumidos.net/las-viudas-de-los-jueves-de-claudia-pineiro/,1,5,-1,5,2025-01-03
https://librosresumidos.net/las-gratitudes-de-delphine-de-vigan/,1,4,-1,4,2025-01-03
https://librosresumidos.net/un-mundo-que-agoniza-de-miguel-delibes/,1,4,-1,5,2025-01-03
https://librosresumidos.net/la-comadrona-de-katja-kettu/,1,4,-1,6,2025-01-03
https://librosresumidos.net/cain-de-jose-saramago/,1,3,-1,2,2025-01-03
